rule(severity),ToolKit,Assembly,Fun/ Game,Full-stack Library,None-Quantum,Quantum-Chemistry,Compiler,Simulator,Quantum Algorithsm,Quantum Annealing,Cryptography,Experimentation,tag,message,ToolKit,Assembly,Fun/ Game,Full-stack Library,None-Quantum,Quantum-Chemistry,Compiler,Simulator,Quantum Algorithsm,Quantum Annealing,Cryptography,Experimentation,MEDIAN
BoldAndItalicTagsCheck(MINOR//),3.56E-08,1.96E-07,8.90E-07,9.18E-08,3.42E-08,8.20E-09,8.77E-09,3.47E-08,4.14E-08,5.32E-08,8.69E-10,5.39E-08,/accessibility/,Replace this <i> tag by <em>.; /,0.84,3.27,2.08,2.64,1.07,0.2,0.34,0.81,0.99,0.91,0.02,0.47,0.875
S1481(MINOR//),3.38E-07,4.55E-07,4.32E-07,2.05E-07,1.71E-07,2.27E-07,1.67E-07,3.52E-07,2.81E-07,7.36E-07,7.04E-08,2.27E-07,unused//,"Remove this unused ""$key"" local variable.; /Remove the unused local variable ""qflex_amplitude"".; /Remove the declaration of the unused 'origword' variable.; /",7.98,7.59,1.01,5.89,5.34,5.56,6.46,8.25,6.72,12.65,1.77,1.99,6.175
S3516(BLOCKER//),1.48E-09,2.43E-09,0,4.28E-10,7.06E-09,5.84E-10,7.67E-09,1.41E-10,1.16E-09,4.72E-08,2.90E-10,2.33E-09,/xxxxx/,Refactor this method to not always return the same value.; /Refactor this function to not always return the same value.; /,0.04,0.04,0,0.01,0.22,0.01,0.3,0,0.03,0.81,0.01,0.02,0.025
S3776(CRITICAL//),1.89E-07,5.18E-07,4.46E-07,2.24E-07,1.67E-07,3.53E-07,5.64E-07,8.34E-08,3.49E-07,2.98E-07,3.54E-07,2.26E-07,/brain_overload/,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.; /Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.; /Refactor this function to reduce its Cognitive Complexity from 151 to the 15 allowed.; /Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.; /,4.48,8.64,1.04,6.43,5.23,8.64,21.88,1.96,8.36,5.13,8.92,1.98,5.83
S5256(MAJOR//),2.14E-08,1.11E-08,0,4.64E-10,5.48E-08,2.34E-09,0,2.73E-08,1.40E-09,0,9.78E-08,1.13E-08,wcag2_a//accessibility/,"Add ""<th>"" headers to this ""<table>"".; /",0.51,0.18,0,0.01,1.71,0.06,0,0.64,0.03,0,2.46,0.1,0.08
TableWithoutCaptionCheck(MINOR//),2.96E-08,1.11E-08,0,4.64E-10,6.69E-08,8.77E-09,0,4.40E-08,1.93E-09,0,9.79E-08,1.20E-08,wcag2_a//accessibility/,Add a description to this table.; /,0.7,0.18,0,0.01,2.09,0.21,0,1.03,0.05,0,2.47,0.11,0.145
S121(CRITICAL//),0,0,0,0,7.69E-09,0,0,0,0,0,0,0,/pitfall/,Add curly braces around the nested statement(s).; /,0,0,0,0,0.24,0,0,0,0,0,0,0,0
S2589(MAJOR//),0,0,4.04E-09,6.61E-10,3.13E-10,0,0,0,0,0,0,0,confusing//duplicate/suspicious/,This always evaluates to truthy. Consider refactoring this code.; /,0,0,0.01,0.02,0.01,0,0,0,0,0,0,0,0
S907(MAJOR//),0,0,0,0,4.48E-09,0,0,0,0,0,0,0,/brain_overload/,"Remove use of ""goto"" statement.; /",0,0,0,0,0.14,0,0,0,0,0,0,0,0
S2711(BLOCKER//),0,0,0,0,2.90E-12,0,1.10E-09,0,0,0,0,1.52E-10,/xxxxx/,"Remove this use of ""return"".; /",0,0,0,0,0,0,0.04,0,0,0,0,0,0
S1134(MAJOR//),2.00E-08,2.92E-07,0,6.77E-09,5.80E-09,1.06E-08,3.42E-10,1.44E-10,5.22E-11,9.98E-09,1.49E-07,2.38E-09,/convention/,"Take the required action to fix the issue indicated by this ""FIXME"" comment.; /",0.47,4.87,0,0.19,0.18,0.26,0.01,0,0,0.17,3.74,0.02,0.175
S125(MAJOR//),2.18E-07,3.99E-07,1.92E-07,6.44E-08,1.07E-07,4.36E-07,4.93E-07,2.08E-07,2.25E-07,2.73E-07,2.40E-08,4.94E-07,unused//,Remove this commented out code.; /,5.15,6.65,0.45,1.85,3.35,10.67,19.12,4.88,5.38,4.69,0.61,4.33,4.785
S1226(MINOR//),3.96E-09,2.43E-09,0,6.51E-09,1.67E-09,8.90E-09,7.67E-09,5.23E-11,6.63E-09,1.33E-09,0,1.22E-08,/xxxxx/,Introduce a new variable or use its initial value before reassigning 'tslot_type'.; /,0.09,0.04,0,0.19,0.05,0.22,0.3,0,0.16,0.02,0,0.11,0.07
S1940(MINOR//),0,0,1.62E-09,5.06E-10,9.19E-10,7.87E-12,0,9.16E-10,0,0,0,0,/pitfall/,Use the opposite operator (>=) instead.; /,0,0,0,0.01,0.03,0,0,0.02,0,0,0,0,0
S1848(MAJOR//),0,0,0,0,0,0,0,0,0,0,0,0,unused//cwe/,"Either remove this useless object instantiation of class ""Message"" or use it; /",0,0,0,0,0,0,0,0,0,0,0,0,0
